Feature,Coefficient,Absolute_Coefficient
ram,286.81199146826776,286.81199146826776
battery,183.07368610436328,183.07368610436328
thickness,-160.29642956168786,160.29642956168786
ppi,158.76644396558325,158.76644396558325
resolution,-144.46673577374258,144.46673577374258
cpu core,103.39394552753558,103.39394552753558
internal mem,63.59317143218156,63.59317143218156
cpu freq,48.74435717057432,48.74435717057432
Sale,28.229503196708784,28.229503196708784
RearCam,-24.539584852351695,24.539584852351695
Front_Cam,11.727499057849016,11.727499057849016
weight,-9.426818318735627,9.426818318735627
